topology,p_replicas,d_replicas,rr,il,ol,completed,duration_s,request_throughput,output_throughput_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2e_latency_ms,p99_e2e_latency_ms
1P4D,1,4,8,8192,4096,200,1268.7714987089842,0.15763279692482565,642.4364046870501,491892.2389488835,1084047.025561659,61.98560807903693,67.13979738743193,745723.3040325397,1246012.7850051315
1P4D,1,4,8,16384,1024,200,633.5242475026691,0.31569430971015416,321.6561967490304,267945.7622683158,569645.7951105965,80.16399510167945,94.6056370430956,349953.5292573339,609966.8464045423
1P4D,1,4,8,16384,4096,200,2225.8454681203557,0.08985349740783785,366.2001750230783,969633.784644224,2008933.3851389366,66.14853590720736,70.4734964397858,1240512.0391842383,2202683.147091888
1P4D,1,4,64,1024,1024,200,65.14339360991616,3.0701501551733084,3128.129940853756,18600.538284910745,48986.20109287354,15.209349050549914,16.598782538459087,34159.70236362331,61222.02880349834
1P4D,1,4,64,1024,4096,200,268.79928436329,0.7440495999598504,3032.3927458763696,78620.2811523747,214648.4712193216,17.030883400802608,17.82301941980223,148361.74867866136,264877.91955687216
1P4D,1,4,64,4096,1024,200,195.74507978642205,1.0217370480944936,1041.032552247758,68704.73269120867,175973.58912131086,50.298781619717374,57.74525419271561,120160.38628817954,191823.71498000424
1P4D,1,4,64,4096,4096,200,803.2960342441237,0.24897421557445346,1014.7006399290744,268770.03986618086,731046.3407033322,56.45373924743468,59.63369290383543,499948.1020844259,799374.669437706
1P4D,1,4,64,8192,1024,200,326.1405720539073,0.6132325050528895,624.8134009108134,125434.36094055431,285896.6204417279,75.14508432517336,91.01193754067361,202307.7822052067,322420.73284092575
1P4D,1,4,64,8192,4096,200,1268.7714987089842,0.15763279692482565,642.4364046870501,502304.6924026057,1105054.7544146776,61.98560807903693,67.13979738743193,756135.757486262,1265051.6594960024
1P4D,1,4,64,16384,1024,200,633.5242475026691,0.31569430971015416,321.6561967490304,278358.2157220381,590653.5239636151,80.16399510167945,94.6056370430956,360365.98271105613,629704.5723654034
1P4D,1,4,64,16384,4096,200,2225.8454681203557,0.08985349740783785,366.2001750230783,980046.2380979464,2029941.113991955,66.14853590720736,70.4734964397858,1250924.4926379607,2222075.177991797
4P1D,4,1,1,1024,1024,200,206.4955962574216,0.9685436572249025,991.7887049983002,63.181543948137175,99.91805132156358,15.00064223648617,16.290616620359966,15408.838551873492,16722.424887141864
4P1D,4,1,1,1024,4096,200,498.83626919014125,0.4009331565339049,1634.0131027828427,75656.06265304206,207474.30596030704,33.36617959084441,35.60602643415036,212290.56807754995,310178.7061227697
4P1D,4,1,1,4096,1024,200,220.23900563181394,0.9081043542956754,925.2539050265492,246.7031867369577,610.9274677903657,38.07502762163873,46.04122552976796,39197.45644367338,47422.57184656288
4P1D,4,1,1,4096,4096,200,807.2433211686149,0.24775677265495086,1009.7389208745686,182838.87066135314,503007.33556408616,56.177721872638,59.85946886057514,412886.6417298058,619261.3905627234
4P1D,4,1,1,8192,1024,200,353.22705535486506,0.5662080437158828,576.9008826214573,47921.0701981462,126814.04416044292,88.88182144738813,102.05743854263585,138847.17353882425,179205.04794972978
